image_id,stage
img_000001.jpg,early_vegetative
img_000002.jpg,early_vegetative
img_000003.jpg,flowering
img_000004.jpg,flowering
img_000005.jpg,fruit_setting
img_000006.jpg,fruit_setting
img_000007.jpg,plantula
img_000008.jpg,plantula
img_000009.jpg,vegetative_growth
img_000010.jpg,vegetative_growth
img_000011.jpg,early_vegetative
img_000012.jpg,early_vegetative
img_000013.jpg,flowering
img_000014.jpg,flowering
img_000015.jpg,fruit_setting
img_000016.jpg,fruit_setting
img_000017.jpg,plantula
img_000018.jpg,plantula
img_000019.jpg,vegetative_growth
img_000020.jpg,vegetative_growth
img_000021.jpg,early_vegetative
img_000022.jpg,early_vegetative
img_000023.jpg,flowering
img_000024.jpg,flowering
img_000025.jpg,fruit_setting
img_000026.jpg,fruit_setting
img_000027.jpg,plantula
img_000028.jpg,plantula
img_000029.jpg,vegetative_growth
img_000030.jpg,vegetative_growth
img_000031.jpg,early_vegetative
img_000032.jpg,flowering
img_000033.jpg,flowering
img_000034.jpg,fruit_setting
img_000035.jpg,fruit_setting
img_000036.jpg,plantula
img_000037.jpg,plantula
img_000038.jpg,vegetative_growth
img_000039.jpg,vegetative_growth
img_000040.jpg,flowering
img_000041.jpg,flowering
img_000042.jpg,fruit_setting
img_000043.jpg,fruit_setting
img_000044.jpg,plantula
img_000045.jpg,plantula
img_000046.jpg,vegetative_growth
img_000047.jpg,vegetative_growth
img_000048.jpg,flowering
img_000049.jpg,fruit_setting
img_000050.jpg,fruit_setting
img_000051.jpg,vegetative_growth
img_000052.jpg,vegetative_growth
img_000053.jpg,fruit_setting
img_000054.jpg,fruit_setting
img_000055.jpg,vegetative_growth
img_000056.jpg,vegetative_growth
img_000057.jpg,fruit_setting
img_000058.jpg,fruit_setting
img_000059.jpg,vegetative_growth
img_000060.jpg,vegetative_growth
img_000061.jpg,fruit_setting
img_000062.jpg,fruit_setting
img_000063.jpg,vegetative_growth
img_000064.jpg,vegetative_growth
img_000065.jpg,fruit_setting
img_000066.jpg,fruit_setting
img_000067.jpg,vegetative_growth
img_000068.jpg,vegetative_growth
img_000069.jpg,fruit_setting
img_000070.jpg,fruit_setting
img_000071.jpg,vegetative_growth
img_000072.jpg,vegetative_growth
img_000073.jpg,fruit_setting
img_000074.jpg,fruit_setting
img_000075.jpg,vegetative_growth
img_000076.jpg,vegetative_growth
img_000077.jpg,fruit_setting
img_000078.jpg,fruit_setting
img_000079.jpg,vegetative_growth
img_000080.jpg,vegetative_growth
img_000081.jpg,fruit_setting
img_000082.jpg,vegetative_growth
img_000083.jpg,vegetative_growth
img_000084.jpg,vegetative_growth
img_000085.jpg,vegetative_growth
img_000086.jpg,vegetative_growth
img_000087.jpg,vegetative_growth
img_000088.jpg,vegetative_growth
img_000089.jpg,vegetative_growth
img_000090.jpg,vegetative_growth
img_000091.jpg,vegetative_growth
img_000092.jpg,vegetative_growth
img_000093.jpg,vegetative_growth
img_000094.jpg,vegetative_growth
img_000095.jpg,vegetative_growth
img_000096.jpg,vegetative_growth
img_000097.jpg,vegetative_growth
